date_,adj close_escorts.ns,close_escorts.ns,high_escorts.ns,low_escorts.ns,open_escorts.ns,volume_escorts.ns
2024-06-24,4194.47021484375,4249.64990234375,4356.5,4243.0498046875,4332.5,215127
2024-06-25,4144.18212890625,4198.7001953125,4290.25,4165.75,4267.60009765625,191797
2024-06-26,4195.75341796875,4250.9501953125,4264.7998046875,4156.0498046875,4206.60009765625,167078
2024-06-27,4092.165771484375,4146.0,4288.9501953125,4129.75,4260.0,442128
2024-06-28,4092.65966796875,4146.5,4239.89990234375,4132.0,4146.0,193623
2024-07-01,4087.971435546875,4141.75,4204.2001953125,4110.0,4131.0,229563
2024-07-02,4072.37646484375,4125.9501953125,4160.60009765625,4087.60009765625,4141.7001953125,218477
2024-07-03,4063.887939453125,4117.35009765625,4167.89990234375,4096.2998046875,4130.0498046875,170812
2024-07-04,4052.48779296875,4105.7998046875,4149.75,4095.199951171875,4110.0498046875,98914
2024-07-05,4095.067138671875,4130.75,4223.0,4090.050048828125,4104.89990234375,193469
2024-07-08,4069.588623046875,4105.0498046875,4171.2001953125,4024.0,4141.39990234375,202631
2024-07-09,4126.294921875,4162.25,4176.89990234375,4080.39990234375,4121.7001953125,88511
2024-07-10,4016.2041015625,4051.199951171875,4191.75,4025.0,4171.0,155749
2024-07-11,3953.897216796875,3988.35009765625,4093.550048828125,3972.949951171875,4075.0,201746
2024-07-12,3881.775634765625,3915.60009765625,4006.14990234375,3902.699951171875,3988.35009765625,160794
2024-07-15,3943.68603515625,3978.050048828125,3995.0,3880.0,3915.0,645076
2024-07-16,3990.825439453125,4025.60009765625,4081.89990234375,3953.64990234375,3990.60009765625,1049253
2024-07-18,3958.556396484375,3993.050048828125,4050.949951171875,3885.300048828125,4040.0,453179
2024-07-19,3888.417724609375,3922.300048828125,4017.39990234375,3911.0,3993.050048828125,163988
2024-07-22,3980.26708984375,4014.949951171875,4021.0,3845.300048828125,3921.949951171875,173786
2024-07-23,4085.252685546875,4120.85009765625,4128.9501953125,3920.050048828125,4014.0,282505
2024-07-24,4109.98681640625,4145.7998046875,4161.2001953125,4067.85009765625,4134.0,201254
2024-07-25,4021.805419921875,4056.85009765625,4140.75,4041.0,4100.0,231030
2024-07-26,4109.73876953125,4145.5498046875,4154.0498046875,4050.949951171875,4053.0,282855
