date_,adj close_bayercrop.ns,close_bayercrop.ns,high_bayercrop.ns,low_bayercrop.ns,open_bayercrop.ns,volume_bayercrop.ns
2024-11-19,5435.12890625,5665.89990234375,5795.7998046875,5643.4501953125,5655.0,23896
2024-11-21,5551.919921875,5787.64990234375,5949.9501953125,5617.5498046875,5680.0,73512
2024-11-22,5503.380859375,5737.0498046875,5851.9501953125,5715.0,5800.0,27824
2024-11-25,5550.62451171875,5786.2998046875,5895.0,5751.14990234375,5751.14990234375,32367
2024-11-26,5568.27587890625,5804.7001953125,5889.25,5788.0498046875,5806.14990234375,20564
2024-11-27,5560.9853515625,5797.10009765625,5886.10009765625,5783.7001953125,5849.0,27186
2024-11-28,5506.17529296875,5650.85009765625,5803.7001953125,5643.0498046875,5721.0,36645
2024-11-29,5546.56396484375,5692.2998046875,5764.9501953125,5620.5498046875,5764.9501953125,34549
2024-12-02,5736.96142578125,5887.7001953125,5910.0,5660.10009765625,5710.0498046875,28891
2024-12-03,5997.3203125,6154.89990234375,6224.5,5834.25,5871.0,39938
2024-12-04,5939.9765625,6096.0498046875,6219.4501953125,6080.0,6150.0498046875,17270
2024-12-05,5942.8515625,6099.0,6175.0,6040.64990234375,6140.0,12884
2024-12-06,5883.365234375,6037.9501953125,6130.35009765625,6020.0,6124.85009765625,10843
2024-12-09,5907.57861328125,6062.7998046875,6105.0,6009.64990234375,6037.9501953125,12050
2024-12-10,6050.7177734375,6209.7001953125,6320.85009765625,6042.4501953125,6063.0,24768
2024-12-11,6144.94140625,6306.39990234375,6349.0,6188.10009765625,6218.0498046875,36871
2024-12-12,6097.1474609375,6257.35009765625,6330.2001953125,6214.0,6330.2001953125,8310
2024-12-13,6083.16455078125,6243.0,6279.9501953125,6117.89990234375,6231.0,21142
2024-12-16,6055.93017578125,6215.0498046875,6277.7998046875,6185.0,6200.0,12922
2024-12-17,5869.041015625,6023.25,6230.0,6000.0,6215.60009765625,31380
2024-12-18,5570.82666015625,5717.2001953125,6034.7001953125,5666.60009765625,6029.0,40023
2024-12-19,5652.4326171875,5800.9501953125,5919.0,5560.0,5569.0,32510
2024-12-20,5711.62744140625,5861.7001953125,5894.0498046875,5760.0,5858.9501953125,35135
2024-12-23,5619.79052734375,5767.4501953125,5923.0,5697.2998046875,5815.0498046875,26862
2024-12-24,5555.1875,5701.14990234375,5825.64990234375,5675.25,5766.5,20885
2024-12-26,5650.77587890625,5799.25,5812.0,5675.39990234375,5700.0,10487
2024-12-27,5651.4580078125,5799.9501953125,5820.0,5750.7998046875,5800.0,5591
2024-12-30,5337.26318359375,5477.5,5829.0,5459.0,5800.0,60863
2024-12-31,5408.8330078125,5550.9501953125,5590.0,5412.4501953125,5489.0498046875,50614
2025-01-01,5386.470703125,5528.0,5594.64990234375,5507.0,5594.0,4859
2025-01-02,5487.369140625,5631.5498046875,5660.0,5488.0,5528.14990234375,19408
2025-01-03,5483.22802734375,5627.2998046875,5648.5,5588.0,5592.0,6897
2025-01-06,5363.8642578125,5504.7998046875,5648.14990234375,5434.0,5627.2998046875,13996
2025-01-07,5420.81787109375,5563.25,5579.9501953125,5497.5498046875,5539.9501953125,6418
2025-01-08,5332.63525390625,5472.75,5563.25,5465.10009765625,5563.25,12938
2025-01-09,5437.52880859375,5580.39990234375,5775.85009765625,5480.0,5495.35009765625,44323
2025-01-10,5183.89306640625,5320.10009765625,5570.0,5271.0498046875,5550.14990234375,31983
2025-01-13,5002.89892578125,5134.35009765625,5289.9501953125,5110.75,5272.0498046875,33743
2025-01-14,5044.70068359375,5177.25,5270.0,5088.0,5149.9501953125,16338
2025-01-15,5012.83740234375,5144.5498046875,5268.0,5130.7998046875,5178.0,31421
2025-01-16,5006.26025390625,5137.7998046875,5268.0,5131.0498046875,5268.0,6432
2025-01-17,4975.56689453125,5106.2998046875,5209.0,5080.0498046875,5147.89990234375,8044
2025-01-20,4899.8564453125,5028.60009765625,5188.9501953125,5023.0,5111.0,12569
2025-01-21,4884.46044921875,5012.7998046875,5103.25,4973.89990234375,5031.0498046875,24565
2025-01-22,4816.10693359375,4942.64990234375,5036.2001953125,4920.0498046875,5014.39990234375,20943
2025-01-23,4986.0908203125,5117.10009765625,5186.0,4934.89990234375,4999.89990234375,13590
2025-01-24,4833.20751953125,4960.2001953125,5135.0,4944.10009765625,5118.0,15721
2025-01-27,4767.58203125,4892.85009765625,4986.2998046875,4784.85009765625,4934.89990234375,18212
2025-01-28,4677.06005859375,4799.9501953125,4886.0,4786.0,4851.0,12262
2025-01-29,4880.076171875,5008.2998046875,5039.64990234375,4800.60009765625,4880.0,14458
2025-01-30,4971.62060546875,5102.25,5135.0,5008.2998046875,5008.2998046875,10360
2025-01-31,4984.92138671875,5115.89990234375,5147.9501953125,5047.0,5147.9501953125,10095
2025-02-01,5008.0146484375,5139.60009765625,5186.5498046875,5067.0498046875,5126.0498046875,10308
2025-02-03,4969.0869140625,5099.64990234375,5239.0,5030.0,5144.85009765625,14253
2025-02-04,4980.92626953125,5111.7998046875,5227.0498046875,5100.0,5101.0,9791
2025-02-05,4906.8720703125,5035.7998046875,5142.85009765625,5021.14990234375,5118.14990234375,8257
2025-02-06,4914.27734375,5043.39990234375,5090.0,5003.0,5020.14990234375,9461
2025-02-07,4824.43798828125,4951.2001953125,5059.2998046875,4925.5,5040.5,7892
2025-02-10,4737.18017578125,4861.64990234375,4951.0498046875,4827.0,4927.0,9189
2025-02-11,4665.22119140625,4787.7998046875,4840.2998046875,4780.5,4827.0498046875,11204
2025-02-12,4277.11865234375,4389.5,4700.0,4360.0498046875,4700.0,172463
2025-02-13,4257.1923828125,4369.0498046875,4450.0,4217.4501953125,4241.35009765625,174470
2025-02-14,4375.58154296875,4490.5498046875,4633.2998046875,4319.0,4350.0,136238
2025-02-17,4470.14697265625,4587.60009765625,4663.2998046875,4357.60009765625,4450.0,46156
2025-02-18,4579.7666015625,4700.10009765625,4833.25,4500.0,4571.0,40137
2025-02-19,4614.455078125,4735.7001953125,4786.5,4636.5498046875,4680.0,19517
2025-02-20,4627.658203125,4749.25,4805.0,4680.0,4735.7001953125,20436
2025-02-21,4702.0537109375,4825.60009765625,4909.4501953125,4715.0,4749.25,21766
2025-02-24,4602.177734375,4723.10009765625,4829.85009765625,4700.0,4825.60009765625,15832
2025-02-25,4606.1240234375,4727.14990234375,4763.7001953125,4690.0,4746.75,16866
