date_,adj close_ultracemco.ns,close_ultracemco.ns,high_ultracemco.ns,low_ultracemco.ns,open_ultracemco.ns,volume_ultracemco.ns
2024-09-24,11687.56640625,11761.650390625,11969.849609375,11740.349609375,11948.099609375,242038
2024-09-25,11741.87109375,11816.2998046875,11855.599609375,11680.0,11811.0,196686
2024-09-26,11989.0048828125,12065.0,12080.0,11767.7998046875,11835.0,277079
2024-09-27,11877.0146484375,11952.2998046875,12138.0,11924.75,12065.0,404276
2024-09-30,11727.662109375,11802.0,11924.0,11774.0498046875,11924.0,405493
2024-10-01,11762.5908203125,11837.150390625,11887.7001953125,11650.25,11802.0,324906
2024-10-03,11650.9482421875,11724.7998046875,11930.0,11613.099609375,11627.099609375,304610
2024-10-04,11378.126953125,11450.25,11829.150390625,11380.0,11700.0,357277
2024-10-07,11159.6123046875,11230.349609375,11529.9501953125,11192.099609375,11491.9501953125,374655
2024-10-08,11318.0576171875,11389.7998046875,11475.0,11231.0,11231.0,447220
2024-10-09,11278.658203125,11350.150390625,11511.0,11333.0,11404.0498046875,286382
2024-10-10,11358.0546875,11430.0498046875,11459.0,11353.5498046875,11439.9501953125,180542
2024-10-11,11349.359375,11421.2998046875,11468.2998046875,11360.2001953125,11390.75,120279
2024-10-14,11229.1220703125,11300.2998046875,11429.9501953125,11240.0,11399.9501953125,144163
2024-10-15,11344.98828125,11416.900390625,11432.9501953125,11290.0,11400.0,182286
2024-10-16,11250.9833984375,11322.2998046875,11412.0,11233.0,11341.0,276811
2024-10-17,10947.904296875,11017.2998046875,11363.9501953125,10934.0498046875,11351.0,353330
2024-10-18,10999.5771484375,11069.2998046875,11139.9501953125,10901.0,11017.2998046875,330703
2024-10-21,10800.8369140625,10869.2998046875,11166.650390625,10771.400390625,11050.0,566667
2024-10-22,10756.96484375,10825.150390625,11080.7998046875,10740.0,10751.0,793887
2024-10-23,10685.318359375,10753.0498046875,10843.650390625,10672.0,10821.9501953125,351717
2024-10-24,10974.0380859375,11043.599609375,11085.0,10718.400390625,10753.0498046875,341400
2024-10-25,10925.943359375,10995.2001953125,11115.0,10950.0,11063.7001953125,519646
2024-10-28,11022.7294921875,11092.599609375,11199.349609375,10899.599609375,11000.0,229113
2024-10-29,11042.107421875,11112.099609375,11136.9501953125,10917.0498046875,11074.0,266761
2024-10-30,11134.521484375,11205.099609375,11230.0,11011.400390625,11115.0,239933
2024-10-31,10995.9501953125,11065.650390625,11250.900390625,11042.5498046875,11156.7998046875,423687
2024-11-01,11075.5947265625,11145.7998046875,11171.2998046875,11078.5498046875,11079.9501953125,19032
2024-11-04,10932.5517578125,11001.849609375,11156.75,10930.0498046875,11147.0,276984
2024-11-05,11105.9521484375,11176.349609375,11188.0498046875,10973.25,10983.650390625,274422
2024-11-06,11203.3857421875,11274.400390625,11306.900390625,11112.0,11225.0,282486
2024-11-07,10981.193359375,11050.7998046875,11244.9501953125,11001.099609375,11241.5498046875,326254
2024-11-08,10973.7900390625,11043.349609375,11139.349609375,10960.7001953125,11029.099609375,155894
2024-11-11,10901.349609375,10970.4501953125,11109.9501953125,10896.0498046875,11015.0,107472
2024-11-12,10823.3935546875,10892.0,11074.75,10840.0,10970.5,166347
2024-11-13,10714.28515625,10782.2001953125,10873.5,10750.0,10803.2998046875,216900
2024-11-14,10660.923828125,10728.5,10832.5,10542.5,10726.0,297442
2024-11-18,10563.9384765625,10630.900390625,10766.849609375,10580.400390625,10632.099609375,424186
2024-11-19,10701.71484375,10769.5498046875,10870.0,10657.900390625,10684.0498046875,220357
2024-11-21,10885.84765625,10954.849609375,11005.849609375,10555.0,10555.0,256924
2024-11-22,11303.6494140625,11375.2998046875,11409.900390625,10931.650390625,10999.0,328426
2024-11-25,11385.2822265625,11457.4501953125,11690.0,11437.25,11450.0,465057
2024-11-26,11051.0009765625,11121.0498046875,11497.2998046875,11106.0,11457.4501953125,243711
2024-11-27,11069.732421875,11139.900390625,11188.9501953125,10960.0,11020.599609375,330284
2024-11-28,10928.52734375,10997.7998046875,11190.0,10957.599609375,11174.0,326140
2024-11-29,11131.5908203125,11202.150390625,11233.0,10915.0,10915.0,367574
2024-12-02,11575.177734375,11648.5498046875,11780.0,11206.7001953125,11206.7001953125,633694
2024-12-03,11777.6943359375,11852.349609375,11935.0,11624.9501953125,11674.75,501811
2024-12-04,11692.68359375,11766.7998046875,11920.349609375,11748.0498046875,11866.2001953125,306770
2024-12-05,11857.6376953125,11932.7998046875,12001.9501953125,11722.849609375,11745.0,436371
2024-12-06,11773.869140625,11848.5,11956.349609375,11818.0,11939.0,193324
2024-12-09,11740.380859375,11814.7998046875,11890.0,11718.0,11858.400390625,268177
2024-12-10,11671.8154296875,11745.7998046875,11807.099609375,11695.0,11745.0,232758
2024-12-11,11823.5537109375,11898.5,12065.0,11815.2998046875,11851.0,527029
2024-12-12,11782.265625,11856.9501953125,11944.0,11790.900390625,11944.0,247809
2024-12-13,12007.7861328125,12083.900390625,12118.5,11730.0,11800.0,408880
2024-12-16,11867.2763671875,11942.5,12145.349609375,11871.0,12050.0,214946
2024-12-17,11700.7822265625,11774.9501953125,11974.150390625,11683.2001953125,11930.650390625,244639
2024-12-18,11689.8515625,11763.9501953125,11855.0,11700.0,11775.0,222900
2024-12-19,11597.2880859375,11670.7998046875,11760.0,11572.0498046875,11638.0,162249
2024-12-20,11350.849609375,11422.7998046875,11748.0,11397.650390625,11664.849609375,299802
2024-12-23,11400.3359375,11472.599609375,11582.4501953125,11375.0,11520.0,149350
2024-12-24,11318.6044921875,11390.349609375,11587.0498046875,11360.0,11471.0,108000
2024-12-26,11388.4619140625,11460.650390625,11799.0,11334.5,11390.349609375,144283
2024-12-27,11334.7021484375,11406.5498046875,11555.0,11385.0,11491.599609375,118410
2024-12-30,11217.2470703125,11288.349609375,11507.650390625,11239.7001953125,11419.4501953125,164726
2024-12-31,11354.3779296875,11426.349609375,11465.0,11194.0498046875,11270.0,241737
2025-01-01,11374.8974609375,11447.0,11520.900390625,11305.0,11411.0,107951
2025-01-02,11723.388671875,11797.7001953125,11829.150390625,11455.0498046875,11500.0,267609
2025-01-03,11711.7626953125,11786.0,11861.650390625,11713.0,11799.0,237651
2025-01-06,11431.140625,11503.599609375,11854.75,11450.2001953125,11801.9501953125,139820
2025-01-07,11545.3671875,11618.5498046875,11635.150390625,11485.150390625,11514.9501953125,197212
2025-01-08,11331.7216796875,11403.5498046875,11629.9501953125,11370.0,11618.5498046875,159583
2025-01-09,11188.876953125,11259.7998046875,11432.4501953125,11183.0,11403.5498046875,196555
2025-01-10,10796.7626953125,10865.2001953125,11287.25,10837.5498046875,11203.25,228618
2025-01-13,10548.2880859375,10615.150390625,10830.0,10593.400390625,10700.0,225902
2025-01-14,10417.71484375,10483.75,10733.0,10462.0,10570.0,344404
2025-01-15,10455.376953125,10521.650390625,10643.400390625,10466.75,10540.0,371459
2025-01-16,10569.205078125,10636.2001953125,10807.599609375,10550.0,10590.0,375910
2025-01-17,10513.359375,10580.0,10723.9501953125,10500.099609375,10636.2001953125,297759
2025-01-20,10557.529296875,10624.4501953125,10652.7998046875,10484.25,10587.400390625,332061
2025-01-21,10600.60546875,10667.7998046875,10968.0498046875,10642.0498046875,10677.5,593842
2025-01-22,10626.392578125,10693.75,10797.7998046875,10606.75,10700.0,249552
2025-01-23,11348.962890625,11420.900390625,11571.4501953125,10689.9501953125,10690.0,1510866
2025-01-24,11214.7626953125,11285.849609375,11609.7001953125,11222.400390625,11251.0,545939
2025-01-27,11168.705078125,11239.5,11360.0,11150.0,11260.0,414994
2025-01-28,11225.1962890625,11296.349609375,11411.599609375,11066.0,11215.0,436707
2025-01-29,11472.130859375,11544.849609375,11574.9501953125,11260.849609375,11296.349609375,377755
2025-01-30,11407.09375,11479.400390625,11612.5,11450.0,11544.849609375,274820
2025-01-31,11415.09375,11487.4501953125,11599.0,11392.150390625,11488.650390625,361656
2025-02-01,11188.2314453125,11259.150390625,11787.0,10798.25,11544.900390625,513602
2025-02-03,11104.263671875,11174.650390625,11282.7998046875,10951.400390625,11120.25,450593
2025-02-04,11446.59375,11519.150390625,11547.849609375,11112.150390625,11200.099609375,314752
2025-02-05,11512.724609375,11585.7001953125,11632.849609375,11433.0,11519.099609375,236897
2025-02-06,11405.056640625,11477.349609375,11619.5498046875,11327.7001953125,11577.2001953125,308664
2025-02-07,11567.2783203125,11640.599609375,11733.0,11475.0498046875,11501.099609375,310549
2025-02-10,11459.66015625,11532.2998046875,11613.7001953125,11490.0,11520.0,262455
2025-02-11,11229.0224609375,11300.2001953125,11515.599609375,11240.25,11497.0,301338
2025-02-12,11406.19921875,11478.5,11599.0,11074.599609375,11300.0,347198
2025-02-13,11473.7216796875,11546.4501953125,11649.900390625,11422.2001953125,11500.0,336128
