date_,adj close_crompton.ns,close_crompton.ns,high_crompton.ns,low_crompton.ns,open_crompton.ns,volume_crompton.ns
2024-09-06,459.3111877441406,463.3999938964844,472.70001220703125,461.1499938964844,470.0,2457608
2024-09-09,456.7341003417969,460.79998779296875,466.3500061035156,457.3500061035156,460.0,1633031
2024-09-10,462.8298645019531,466.95001220703125,473.1000061035156,462.6000061035156,465.0,3015631
2024-09-11,455.2473449707031,459.29998779296875,469.6000061035156,456.45001220703125,469.0,2108614
2024-09-12,454.95001220703125,459.0,467.6499938964844,456.25,463.04998779296875,3223918
2024-09-13,447.76397705078125,451.75,461.5,450.70001220703125,460.20001220703125,1868057
2024-09-16,443.94793701171875,447.8999938964844,460.25,445.1000061035156,451.75,2595629
2024-09-17,448.7551574707031,452.75,455.0,448.1000061035156,449.95001220703125,2577605
2024-09-18,444.8895568847656,448.8500061035156,455.3500061035156,445.1000061035156,454.8999938964844,1154384
2024-09-19,446.0294189453125,450.0,455.1499938964844,442.45001220703125,452.8500061035156,2157626
2024-09-20,442.8576354980469,446.79998779296875,454.3500061035156,441.54998779296875,450.3500061035156,3252868
2024-09-23,441.8169250488281,445.75,455.54998779296875,440.95001220703125,447.79998779296875,2312575
2024-09-24,435.374267578125,439.25,445.75,435.04998779296875,445.75,3041423
2024-09-25,437.6539611816406,441.54998779296875,448.29998779296875,434.6499938964844,442.0,2775467
2024-09-26,415.5507507324219,419.25,445.8999938964844,412.8999938964844,445.8999938964844,11057819
2024-09-27,419.06939697265625,422.79998779296875,426.29998779296875,417.3500061035156,421.54998779296875,4874114
2024-09-30,412.57720947265625,416.25,425.0,414.54998779296875,424.29998779296875,2617019
2024-10-01,428.23779296875,432.04998779296875,435.0,415.20001220703125,418.1000061035156,8536418
2024-10-03,423.57928466796875,427.3500061035156,438.3500061035156,421.79998779296875,421.79998779296875,3020293
2024-10-04,418.3260192871094,422.04998779296875,431.79998779296875,420.3500061035156,428.8500061035156,1971620
2024-10-07,421.5473327636719,425.29998779296875,433.79998779296875,417.5,425.0,3399929
2024-10-08,426.4041442871094,430.20001220703125,434.0,421.6000061035156,426.95001220703125,4131935
2024-10-09,432.6980895996094,436.54998779296875,439.8999938964844,429.75,431.1499938964844,2333123
2024-10-10,437.00970458984375,440.8999938964844,442.0,437.04998779296875,437.04998779296875,4640122
2024-10-11,427.04840087890625,430.8500061035156,446.6499938964844,428.79998779296875,446.0,2209754
2024-10-14,425.8589782714844,429.6499938964844,431.70001220703125,422.8500061035156,430.95001220703125,1410908
2024-10-15,426.25543212890625,430.04998779296875,432.79998779296875,424.25,431.04998779296875,2103762
2024-10-16,418.8711853027344,422.6000061035156,430.79998779296875,417.6000061035156,423.0,2519690
2024-10-17,410.8426513671875,414.5,426.25,413.0,426.25,1939053
2024-10-18,405.44073486328125,409.04998779296875,414.95001220703125,406.1000061035156,413.79998779296875,4268676
