date_,adj close_abbotindia.ns,close_abbotindia.ns,high_abbotindia.ns,low_abbotindia.ns,open_abbotindia.ns,volume_abbotindia.ns
2024-07-18,27995.73828125,28795.650390625,28924.0,28600.0,28739.94921875,11877
2024-07-19,27027.720703125,27404.150390625,28400.0,27221.0,28356.599609375,16887
2024-07-22,27561.19140625,27945.05078125,28050.0,27119.599609375,27399.94921875,20873
2024-07-23,27347.91015625,27728.80078125,28050.0,27126.349609375,27304.5,8840
2024-07-24,27320.58984375,27701.099609375,27890.900390625,27554.0,27800.0,6345
2024-07-25,27627.712890625,28012.5,28199.900390625,27428.400390625,27701.099609375,7455
2024-07-26,28191.955078125,28584.599609375,28949.650390625,28110.099609375,28352.30078125,16474
2024-07-29,27687.431640625,28073.05078125,28698.80078125,27830.0,28649.94921875,11317
2024-07-30,27782.607421875,28169.55078125,28300.0,27936.19921875,28148.94921875,17382
2024-07-31,27995.1953125,28385.099609375,28781.900390625,28212.0,28253.80078125,14155
2024-08-01,27997.46484375,28387.400390625,28618.80078125,28283.69921875,28400.0,4779
2024-08-02,27839.95703125,28227.69921875,28702.94921875,27940.0,28387.0,7719
2024-08-05,27609.271484375,27993.80078125,28534.05078125,27800.0,27950.05078125,12017
2024-08-06,27427.748046875,27809.75,28551.0,27699.0,28000.0,9090
2024-08-07,27750.35546875,28136.849609375,28449.0,27939.80078125,28044.400390625,16507
2024-08-08,26845.802734375,27219.69921875,29501.0,27104.099609375,28300.0,84434
2024-08-09,26854.876953125,27228.900390625,27738.150390625,27132.05078125,27300.0,26269
2024-08-12,26610.037109375,26980.650390625,27327.94921875,26770.0,27150.0,21053
2024-08-13,26934.71484375,27309.849609375,27444.19921875,26918.849609375,27050.0,17460
2024-08-14,26682.330078125,27053.94921875,27444.0,26970.0,27385.94921875,8129
2024-08-16,27546.248046875,27929.900390625,28014.80078125,27110.5,27203.75,22838
2024-08-19,27712.630859375,28098.599609375,28269.94921875,27644.0,27949.94921875,12331
2024-08-20,27436.279296875,27818.400390625,28250.0,27659.150390625,28250.0,7954
2024-08-21,28133.568359375,28525.400390625,28666.150390625,27706.94921875,27981.599609375,16987
2024-08-22,28756.09765625,29156.599609375,29947.25,28501.900390625,28525.400390625,60209
2024-08-23,28666.59375,29065.849609375,29287.30078125,28650.0,29156.599609375,26875
2024-08-26,28614.619140625,29013.150390625,29075.0,28632.55078125,29000.0,11584
2024-08-27,29329.017578125,29737.5,29801.099609375,28900.0,28900.0,27846
2024-08-28,29543.77734375,29955.25,30145.5,29630.0,29735.0,33538
2024-08-29,29571.8359375,29983.69921875,30151.099609375,29817.94921875,29955.0,16866
2024-08-30,29781.072265625,30195.849609375,30521.0,29902.0,30000.0,18487
2024-09-02,29567.201171875,29979.0,30325.0,29700.599609375,30300.0,12025
2024-09-03,29282.61328125,29690.44921875,30380.900390625,29651.0,30151.150390625,10509
2024-09-04,29326.99609375,29735.44921875,29833.94921875,29536.650390625,29690.44921875,5342
2024-09-05,29256.626953125,29664.099609375,30000.0,29616.650390625,29939.0,4071
2024-09-06,29485.09375,29895.75,30000.0,29594.75,29725.0,8864
2024-09-09,29488.49609375,29899.19921875,30000.0,29600.099609375,29895.75,6438
2024-09-10,29388.78515625,29798.099609375,30267.19921875,29702.150390625,30267.19921875,19074
2024-09-11,29127.130859375,29532.80078125,30071.900390625,29453.400390625,29798.099609375,9495
