date_,adj close_ofss.ns,close_ofss.ns,high_ofss.ns,low_ofss.ns,open_ofss.ns,volume_ofss.ns
2024-08-07,9578.2861328125,10038.599609375,10098.0,9951.0,9990.0,136542
2024-08-08,9599.9931640625,10061.349609375,10420.0,9960.650390625,10119.0,236879
2024-08-09,10079.689453125,10564.099609375,10590.0,10263.4501953125,10263.4501953125,340538
2024-08-12,10242.32421875,10734.5498046875,10785.2001953125,10455.0498046875,10605.2001953125,319404
2024-08-13,10239.8916015625,10732.0,10945.0,10600.0,10829.0,440334
2024-08-14,10144.6201171875,10632.150390625,10897.0,10606.900390625,10786.5,415397
2024-08-16,10398.708984375,10898.4501953125,11007.0,10760.099609375,10799.7998046875,435583
2024-08-19,10442.3134765625,10944.150390625,11135.900390625,10900.0,10969.2998046875,201063
2024-08-20,10549.703125,11056.7001953125,11124.400390625,10950.7998046875,11030.0,222688
2024-08-21,10646.357421875,11158.0,11198.0,11001.349609375,11098.0,223275
2024-08-22,10596.7890625,11106.0498046875,11307.0,11020.0,11224.0,258898
2024-08-23,10430.2431640625,10931.5,11161.599609375,10900.0,11161.599609375,197480
2024-08-26,10502.7109375,11007.4501953125,11187.150390625,10995.7998046875,11049.0,235922
2024-08-27,10447.990234375,10950.099609375,11048.9501953125,10833.75,11044.7001953125,186166
2024-08-28,10515.162109375,11020.5,11142.75,10894.9501953125,10954.5498046875,335216
2024-08-29,10312.16796875,10807.75,11009.0,10762.0,10999.0,349528
2024-08-30,10484.8203125,10988.7001953125,11266.9501953125,10727.7998046875,10888.7998046875,3031738
2024-09-02,10436.20703125,10937.75,11024.0,10720.75,10874.0498046875,248927
2024-09-03,10929.9775390625,11455.25,11575.0,10928.2001953125,10980.0,498450
2024-09-04,10709.3310546875,11224.0,11350.0,11133.0,11349.0,207209
2024-09-05,10750.455078125,11267.099609375,11319.0,11160.150390625,11299.900390625,140806
2024-09-06,10350.3818359375,10847.7998046875,11333.0,10805.4501953125,11250.0498046875,158478
2024-09-09,10421.6083984375,10922.4501953125,11024.2001953125,10759.400390625,10850.0,138898
2024-09-10,10741.1044921875,11257.2998046875,11449.7998046875,11030.0,11300.0,359537
2024-09-11,10841.6240234375,11362.650390625,11566.599609375,11214.9501953125,11402.0,286214
2024-09-12,11044.80859375,11575.599609375,11717.0,11477.25,11507.099609375,341188
2024-09-13,11699.638671875,12261.900390625,12313.5498046875,11590.349609375,11639.0,700341
2024-09-16,11677.8837890625,12239.099609375,12360.0,11982.150390625,12250.0,377298
2024-09-17,11717.337890625,12280.4501953125,12619.0,12219.25,12250.0,450197
2024-09-18,10743.203125,11259.5,12299.0,11075.25,12299.0,856150
2024-09-19,10537.537109375,11043.9501953125,11549.9501953125,10651.25,11547.599609375,888273
2024-09-20,10850.1630859375,11371.599609375,11411.25,11012.2001953125,11115.0,561495
2024-09-23,10906.744140625,11430.900390625,11533.2998046875,11271.599609375,11395.0,255526
2024-09-24,11096.7138671875,11630.0,11673.0,11351.2998046875,11400.0,256723
2024-09-25,10674.88671875,11187.900390625,11663.2998046875,11091.0498046875,11627.0498046875,327212
2024-09-26,10762.4296875,11279.650390625,11353.0,11220.7998046875,11230.9501953125,249828
2024-09-27,10870.390625,11392.7998046875,11645.0,11326.7998046875,11417.0,223731
2024-09-30,10933.26953125,11458.7001953125,11487.0,11265.5498046875,11392.0,105479
2024-10-01,10917.955078125,11442.650390625,11497.0,11316.150390625,11400.099609375,54125
2024-10-03,10661.384765625,11173.75,11492.900390625,11060.0,11280.0,149736
2024-10-04,10449.0400390625,10951.2001953125,11437.7001953125,10901.0,11171.7001953125,191185
2024-10-07,10442.552734375,10944.400390625,11153.9501953125,10784.0,11050.0,252254
2024-10-08,10685.572265625,11199.099609375,11249.0,10723.0,10980.0,123076
2024-10-09,11118.70703125,11653.0498046875,11755.599609375,11261.9501953125,11262.0,181836
2024-10-10,10940.8544921875,11466.650390625,11845.0,11313.0498046875,11733.849609375,188860
