date_,adj close_pcbl.ns,close_pcbl.ns,high_pcbl.ns,low_pcbl.ns,open_pcbl.ns,volume_pcbl.ns
2024-06-24,265.6750183105469,274.260009765625,275.0,264.05999755859375,266.5,5704513
2024-06-25,262.0907897949219,270.55999755859375,278.70001220703125,270.0,276.0,2372936
2024-06-26,256.0945739746094,264.3699951171875,271.25,263.0,270.55999755859375,1474883
2024-06-27,245.45826721191406,253.38999938964844,265.0,252.0,264.3699951171875,2369871
2024-06-28,248.1899871826172,256.2099914550781,262.1499938964844,253.10000610351562,254.9600067138672,1749820
2024-07-01,249.34275817871094,257.3999938964844,258.8999938964844,254.5500030517578,258.75,1259783
2024-07-02,247.4537811279297,255.4499969482422,258.70001220703125,252.0,257.8999938964844,1466513
2024-07-03,249.34275817871094,257.3999938964844,258.8999938964844,252.1999969482422,255.4499969482422,1170673
2024-07-04,251.52232360839844,259.6499938964844,262.0,257.3999938964844,257.3999938964844,1307351
2024-07-05,253.60501098632812,261.79998779296875,267.8999938964844,259.29998779296875,259.8999938964844,1164595
2024-07-08,261.8874206542969,270.3500061035156,277.0,267.20001220703125,268.79998779296875,4680445
2024-07-09,259.8531188964844,268.25,272.29998779296875,263.95001220703125,271.95001220703125,2177934
2024-07-10,254.33152770996094,262.54998779296875,269.6000061035156,257.5,268.25,1303829
2024-07-11,265.2294006347656,273.79998779296875,279.70001220703125,272.54998779296875,274.3999938964844,10683289
2024-07-12,265.9559020996094,274.54998779296875,285.0,273.0,279.0,6440024
2024-07-15,274.0445251464844,282.8999938964844,285.8999938964844,271.0,279.0,6685739
2024-07-16,282.8112487792969,291.95001220703125,297.5,282.6499938964844,285.0,10232727
2024-07-18,277.3381042480469,286.29998779296875,295.70001220703125,285.0,292.5,3990676
2024-07-19,267.651123046875,276.29998779296875,285.5,275.0,285.5,2959028
2024-07-22,273.2211608886719,282.04998779296875,284.5,269.04998779296875,273.45001220703125,2300077
2024-07-23,267.4573974609375,276.1000061035156,282.75,258.95001220703125,282.0,3813979
2024-07-24,282.71441650390625,291.8500061035156,294.0,273.8500061035156,275.0,4117450
2024-07-25,279.081787109375,288.1000061035156,291.5,285.8500061035156,290.79998779296875,1820844
2024-07-26,281.8425598144531,290.95001220703125,299.0,287.29998779296875,289.0,4243107
2024-07-29,290.31866455078125,299.70001220703125,302.45001220703125,288.54998779296875,292.0,4797892
2024-07-30,321.5591735839844,331.95001220703125,343.45001220703125,305.1000061035156,306.0,47061718
2024-07-31,315.0688781738281,325.25,336.6000061035156,323.29998779296875,333.70001220703125,6654925
2024-08-01,335.99273681640625,346.8500061035156,359.79998779296875,324.29998779296875,328.5,32541135
2024-08-02,365.10211181640625,376.8999938964844,380.0,340.29998779296875,343.0,35128581
2024-08-05,372.31890869140625,384.3500061035156,396.8999938964844,355.0,364.04998779296875,42742615
2024-08-06,373.28759765625,385.3500061035156,419.8500061035156,377.25,393.70001220703125,31280502
2024-08-07,373.3844909667969,385.45001220703125,405.0,377.54998779296875,399.0,10195992
2024-08-08,389.41644287109375,402.0,411.6000061035156,383.0,386.3500061035156,18321151
2024-08-09,383.5073547363281,395.8999938964844,409.0,392.25,409.0,5713077
2024-08-12,374.69219970703125,386.79998779296875,394.75,382.95001220703125,393.0,4099618
2024-08-13,363.2131652832031,374.95001220703125,389.5,371.54998779296875,388.0,2827621
2024-08-14,374.69219970703125,386.79998779296875,403.29998779296875,374.6000061035156,376.8500061035156,9761330
2024-08-16,391.9350280761719,404.6000061035156,408.79998779296875,391.20001220703125,393.1499938964844,7637884
2024-08-19,403.7531433105469,416.79998779296875,424.3999938964844,407.0,407.95001220703125,8043304
2024-08-20,410.0496826171875,423.29998779296875,435.0,418.25,418.95001220703125,7782623
2024-08-21,431.55474853515625,445.5,449.8999938964844,415.0,425.5,10698615
2024-08-22,436.7857360839844,450.8999938964844,452.6499938964844,431.20001220703125,447.3999938964844,5868052
2024-08-23,484.6878356933594,500.3500061035156,507.0,446.1499938964844,452.0,19983195
2024-08-26,468.6074523925781,483.75,509.3999938964844,480.6499938964844,499.79998779296875,8527287
2024-08-27,464.2967529296875,479.29998779296875,488.1000061035156,471.20001220703125,483.75,4630976
2024-08-28,473.7900085449219,489.1000061035156,499.79998779296875,481.04998779296875,481.3999938964844,5630307
2024-08-29,466.37945556640625,481.45001220703125,498.0,474.1000061035156,490.6000061035156,3519055
2024-08-30,473.59625244140625,488.8999938964844,493.0,477.25,482.8999938964844,2969491
2024-09-02,472.6275329589844,487.8999938964844,509.45001220703125,484.0,491.3500061035156,4350254
2024-09-03,488.02984619140625,503.79998779296875,512.0,488.0,490.75,5836252
