date_,adj close_hindcopper.ns,close_hindcopper.ns,high_hindcopper.ns,low_hindcopper.ns,open_hindcopper.ns,volume_hindcopper.ns
2024-12-17,283.0404052734375,284.5,289.25,280.3500061035156,288.3999938964844,2103974
2024-12-18,279.5086364746094,280.95001220703125,283.75,274.45001220703125,282.5,3748438
2024-12-19,278.2153015136719,279.6499938964844,281.1000061035156,271.25,273.1000061035156,3130458
2024-12-20,270.10711669921875,271.5,283.6499938964844,261.0,278.6499938964844,4006043
2024-12-23,269.6593933105469,271.04998779296875,273.70001220703125,265.20001220703125,271.6499938964844,3451753
2024-12-24,279.2101745605469,280.6499938964844,285.5,268.95001220703125,271.5,9355158
2024-12-26,261.8497009277344,263.20001220703125,279.3999938964844,261.79998779296875,278.5,12591431
2024-12-27,255.18406677246094,256.5,265.3500061035156,255.0500030517578,265.0,6036698
2024-12-30,245.8820343017578,247.14999389648438,257.20001220703125,245.64999389648438,257.0,5113793
2024-12-31,246.6779327392578,247.9499969482422,250.1999969482422,243.8000030517578,247.4499969482422,4098665
2025-01-01,246.1208038330078,247.38999938964844,250.14999389648438,245.13999938964844,247.89999389648438,2545914
2025-01-02,248.45875549316406,249.74000549316406,250.89999389648438,247.0,248.6999969482422,3055122
2025-01-03,248.94622802734375,250.22999572753906,256.67999267578125,248.55999755859375,249.9199981689453,3580827
2025-01-06,234.4310760498047,235.63999938964844,249.7899932861328,234.14999389648438,249.22999572753906,5344927
2025-01-07,236.90830993652344,238.1300048828125,242.4499969482422,235.0,236.39999389648438,3337163
2025-01-08,238.50009155273438,239.72999572753906,241.58999633789062,234.3000030517578,237.6300048828125,2357857
2025-01-09,234.5703582763672,235.77999877929688,239.60000610351562,233.89999389648438,239.0,2039704
2025-01-10,232.113037109375,233.30999755859375,241.1699981689453,230.0,236.0,4667934
2025-01-13,218.22467041015625,219.35000610351562,235.85000610351562,216.75999450683594,231.0,8130610
2025-01-14,224.92013549804688,226.0800018310547,229.9499969482422,218.55999755859375,219.0,4808444
2025-01-15,219.68711853027344,220.82000732421875,230.85000610351562,220.1999969482422,226.5500030517578,3836574
2025-01-16,230.1133575439453,231.3000030517578,235.49000549316406,223.33999633789062,223.33999633789062,4933049
2025-01-17,246.4192657470703,247.69000244140625,252.1999969482422,230.7100067138672,232.0,11483471
2025-01-20,249.9510498046875,251.24000549316406,253.69000244140625,243.05999755859375,246.30999755859375,5561025
2025-01-21,242.4795684814453,243.72999572753906,255.39999389648438,241.85000610351562,250.1999969482422,6521931
2025-01-22,240.81814575195312,242.05999755859375,244.8000030517578,235.94000244140625,244.0,4680337
2025-01-23,244.7876739501953,246.0500030517578,247.2899932861328,240.1699981689453,241.0,2006294
2025-01-24,240.80819702148438,242.0500030517578,249.6999969482422,240.16000366210938,246.38999938964844,3179611
2025-01-27,230.02381896972656,231.2100067138672,239.9600067138672,229.85000610351562,239.9600067138672,4098027
2025-01-28,226.66114807128906,227.8300018310547,234.64999389648438,223.49000549316406,232.0500030517578,3592372
2025-01-29,227.2481231689453,228.4199981689453,236.30999755859375,225.0,227.5,3635520
2025-01-30,228.77027893066406,229.9499969482422,235.6999969482422,227.00999450683594,230.5,2885868
2025-01-31,237.7539520263672,238.97999572753906,240.5800018310547,223.2100067138672,229.4499969482422,4683771
2025-02-01,239.13681030273438,240.3699951171875,242.97999572753906,218.35000610351562,240.1300048828125,4866627
