date_,adj close_pghh.ns,close_pghh.ns,high_pghh.ns,low_pghh.ns,open_pghh.ns,volume_pghh.ns
2024-04-26,15865.669921875,16168.75,16189.9501953125,16037.0,16150.0,1784
2024-04-29,15872.1962890625,16175.400390625,16197.9501953125,16070.0,16169.0,3223
2024-04-30,15867.19140625,16170.2998046875,16500.0,15650.099609375,16175.9501953125,49047
2024-05-02,15649.7939453125,15948.75,16136.099609375,15800.0,16001.0,8547
2024-05-03,15607.109375,15905.25,16090.4501953125,15800.0,15995.4501953125,3207
2024-05-06,15598.818359375,15896.7998046875,15984.7001953125,15737.0498046875,15910.0,22272
2024-05-07,15591.2607421875,15889.099609375,16407.849609375,15750.0,15880.900390625,12797
2024-05-08,15646.0654296875,15944.9501953125,16060.0,15850.0,15982.900390625,8097
2024-05-09,15392.4599609375,15686.5,16098.0,15631.0,16039.9501953125,3342
2024-05-10,15408.7978515625,15703.150390625,16010.9501953125,15601.0,15749.900390625,7421
2024-05-13,15420.96484375,15715.5498046875,15899.0,15518.099609375,15726.150390625,6957
2024-05-14,15400.80078125,15695.0,15756.349609375,15500.900390625,15750.0,12413
2024-05-15,15488.5732421875,15784.4501953125,15840.7001953125,15663.650390625,15700.0,1866
2024-05-16,15371.65625,15665.2998046875,15863.4501953125,15570.0,15840.900390625,2937
2024-05-17,15359.7841796875,15653.2001953125,15800.0,15590.0,15680.9501953125,2705
2024-05-21,15375.140625,15668.849609375,15800.0,15598.5498046875,15730.0,3374
2024-05-22,15764.5517578125,16065.7001953125,16309.0,15669.0,15669.0,7942
2024-05-23,15557.8994140625,15855.099609375,16122.900390625,15700.0,16108.75,3215
2024-05-24,15524.095703125,15820.650390625,16000.0,15777.900390625,15886.849609375,28548
2024-05-27,15491.419921875,15787.349609375,15990.0,15650.0,15868.0498046875,15976
2024-05-28,15452.0224609375,15747.2001953125,15840.0,15601.0,15840.0,8339
2024-05-29,15546.91015625,15843.900390625,16086.900390625,15620.0,15747.25,5583
2024-05-30,15505.5986328125,15801.7998046875,15993.9501953125,15653.0498046875,15843.900390625,2734
2024-05-31,15672.068359375,15971.4501953125,16380.0,15660.0,15775.0,9310
2024-06-03,15715.046875,16015.25,16346.5,15800.0498046875,16006.0,5472
2024-06-04,15886.7666015625,16190.25,16250.0,15655.2998046875,15987.349609375,7491
2024-06-05,16191.544921875,16500.849609375,16697.94921875,16091.75,16250.0,33977
2024-06-06,16263.51953125,16574.19921875,16723.599609375,16380.349609375,16659.94921875,6375
2024-06-07,16525.810546875,16841.5,16947.19921875,16445.099609375,16574.19921875,26369
2024-06-10,16568.740234375,16885.25,17064.94921875,16705.55078125,16711.0,7162
2024-06-11,16630.412109375,16948.099609375,17000.0,16794.349609375,16885.25,3790
2024-06-12,16533.01953125,16848.849609375,17033.19921875,16750.05078125,17033.19921875,4879
2024-06-13,16583.1640625,16899.94921875,17000.0,16612.55078125,16848.80078125,5270
2024-06-14,16509.814453125,16825.19921875,16948.099609375,16650.349609375,16900.0,2816
2024-06-18,16321.5126953125,16633.30078125,17000.0,16575.0,16999.80078125,5372
2024-06-19,16150.970703125,16459.5,16789.69921875,16362.5498046875,16745.25,4558
2024-06-20,15927.8818359375,16232.150390625,16748.55078125,16156.0,16499.900390625,6836
2024-06-21,15917.3330078125,16221.400390625,16590.0,16062.0498046875,16300.0498046875,6138
2024-06-24,15784.2255859375,16085.75,16464.69921875,16035.0,16464.69921875,3629
2024-06-25,15908.109375,16212.0,16298.0,16050.0,16162.0,5168
2024-06-26,15738.3525390625,16039.0,16220.0,15961.0,16220.0,5159
2024-06-27,16502.11328125,16817.349609375,16897.94921875,15964.599609375,16063.5,24134
2024-06-28,16301.54296875,16612.94921875,16771.900390625,16532.150390625,16771.900390625,4088
2024-07-01,16417.13671875,16730.75,16879.5,16420.05078125,16658.69921875,4607
2024-07-02,16226.28125,16536.25,16798.0,16480.0,16798.0,3305
2024-07-03,16301.494140625,16612.900390625,16650.0,16535.0,16564.69921875,1238
2024-07-04,16277.796875,16588.75,16693.150390625,16500.0,16612.900390625,3093
2024-07-05,16302.869140625,16614.30078125,16871.599609375,16503.0,16557.19921875,3355
2024-07-08,16525.123046875,16840.80078125,16927.0,16500.0,16614.30078125,4445
2024-07-09,16344.5234375,16656.75,17000.0,16637.0,16805.0,6093
2024-07-10,16463.6953125,16778.19921875,17000.0,16602.05078125,16689.69921875,11048
2024-07-11,16597.5390625,16914.599609375,17000.0,16790.0,16800.849609375,4604
2024-07-12,16647.142578125,16965.150390625,17034.80078125,16863.5,16882.400390625,8765
2024-07-15,16510.453125,16825.849609375,17000.0,16708.099609375,16980.0,7304
2024-07-16,16573.7421875,16890.349609375,17034.80078125,16797.25,16848.55078125,9401
2024-07-18,16672.41015625,16990.900390625,17010.0,16791.05078125,16898.75,12380
2024-07-19,16480.130859375,16794.94921875,17003.0,16750.150390625,16958.55078125,7363
2024-07-22,16216.419921875,16526.19921875,16840.5,16445.75,16829.5,3931
2024-07-23,16567.4140625,16883.900390625,17000.0,16569.150390625,16630.19921875,10010
2024-07-24,16796.1953125,17117.05078125,17289.0,16795.55078125,16795.55078125,8310
2024-07-25,16973.947265625,17298.19921875,17440.0,17053.349609375,17117.0,6758
2024-07-26,17059.806640625,17385.69921875,17745.0,17200.0,17298.25,14952
2024-07-29,16885.98046875,17208.55078125,17523.650390625,17106.099609375,17401.05078125,9100
2024-07-30,16720.5390625,17039.94921875,17297.94921875,17001.0,17230.55078125,5043
2024-07-31,16587.677734375,16904.55078125,17153.94921875,16855.55078125,17096.0,3733
2024-08-01,16496.912109375,16812.05078125,17009.94921875,16718.0,16900.0,4132
2024-08-02,16837.654296875,17159.30078125,17397.0,16708.0,16861.55078125,9580
2024-08-05,16384.900390625,16697.900390625,17036.55078125,16405.099609375,16900.0,11350
2024-08-06,16508.78515625,16824.150390625,16985.650390625,16690.05078125,16920.599609375,6277
2024-08-07,16909.921875,17232.94921875,17266.0,16830.0,16830.0,6656
2024-08-08,16728.78125,17048.349609375,17498.0,16990.5,17265.0,6705
2024-08-09,16698.853515625,17017.849609375,17291.0,17000.0,17104.650390625,2316
2024-08-12,16750.125,17070.099609375,17498.0,16950.05078125,16950.05078125,6726
2024-08-13,16681.04296875,16999.69921875,17200.0,16956.30078125,17200.0,3890
2024-08-14,16465.216796875,16779.75,17020.0,16693.55078125,17001.0,12837
2024-08-16,16665.787109375,16984.150390625,17052.400390625,16653.55078125,16800.0,7240
2024-08-19,16649.744140625,16967.80078125,17225.0,16867.150390625,16950.0,2038
2024-08-20,16609.267578125,16926.55078125,17134.05078125,16845.0,17049.900390625,2355
2024-08-21,16753.265625,17073.30078125,17225.0,16942.69921875,16975.099609375,6228
2024-08-22,16760.869140625,17081.05078125,17348.0,17017.94921875,17073.30078125,5812
2024-08-23,16789.9609375,17110.69921875,17168.0,17001.44921875,17102.19921875,2388
2024-08-26,16671.673828125,16990.150390625,17433.900390625,16886.19921875,17110.75,7866
2024-08-27,16686.884765625,17005.650390625,17389.94921875,16900.0,17071.0,5708
2024-08-28,16677.51171875,16996.099609375,17227.349609375,16900.099609375,17225.0,4646
2024-08-29,16234.720703125,16544.849609375,16885.94921875,16357.25,16885.94921875,20103
2024-08-30,16206.6572265625,16516.25,16617.75,16365.0,16614.849609375,6930
2024-09-02,16198.462890625,16507.900390625,16600.0,16380.0,16551.650390625,3763
2024-09-03,16041.7568359375,16348.2001953125,16600.0,16301.0,16500.75,6162
2024-09-04,15881.22265625,16184.599609375,16413.25,16125.0,16301.0,8272
2024-09-05,15836.4296875,16138.9501953125,16302.9501953125,16113.75,16225.0,11022
2024-09-06,15857.6240234375,16160.5498046875,16273.4501953125,16106.0,16192.150390625,10981
2024-09-09,16073.7939453125,16380.849609375,16401.099609375,16085.849609375,16164.849609375,6380
2024-09-10,16118.3427734375,16426.25,16498.0,16250.099609375,16389.19921875,5062
2024-09-11,16196.2060546875,16505.599609375,16530.0,16347.5498046875,16530.0,4497
2024-09-12,16250.173828125,16560.599609375,16580.0,16403.599609375,16565.599609375,10249
2024-09-13,16340.6953125,16652.849609375,16738.94921875,16456.099609375,16560.0,5366
2024-09-16,16288.982421875,16600.150390625,16739.0,16491.900390625,16739.0,3404
2024-09-17,16319.9912109375,16631.75,16640.94921875,16540.0,16595.599609375,2997
2024-09-18,16238.4482421875,16548.650390625,16698.0,16409.94921875,16635.0,6084
2024-09-19,16347.5634765625,16659.849609375,16700.0,16540.0,16540.19921875,4333
2024-09-20,16205.7236328125,16515.30078125,16679.80078125,16415.19921875,16633.349609375,28094
2024-09-23,16211.5634765625,16521.25,16700.0,16453.349609375,16680.0,16561
2024-09-24,16217.302734375,16527.099609375,16630.599609375,16462.349609375,16521.25,15753
2024-09-25,16073.2060546875,16380.25,16573.44921875,16312.0,16527.099609375,3407
2024-09-26,16111.376953125,16419.150390625,16462.19921875,16315.0498046875,16400.5,2476
