date_,adj close_alkem.ns,close_alkem.ns,high_alkem.ns,low_alkem.ns,open_alkem.ns,volume_alkem.ns
2024-09-03,6050.90673828125,6108.75,6170.0,6040.0498046875,6052.14990234375,149571
2024-09-04,6149.0185546875,6207.7998046875,6239.25,6059.0,6101.0,340294
2024-09-05,6217.11767578125,6276.5498046875,6346.0,6191.9501953125,6244.89990234375,358214
2024-09-06,6250.2021484375,6309.9501953125,6346.7001953125,6224.0498046875,6278.0,174137
2024-09-09,6208.6982421875,6268.0498046875,6345.10009765625,6250.39990234375,6310.4501953125,106255
2024-09-10,6257.03662109375,6316.85009765625,6375.0,6268.0498046875,6268.0498046875,280526
2024-09-11,6218.5048828125,6277.9501953125,6359.5498046875,6258.10009765625,6316.85009765625,141919
2024-09-12,6287.74267578125,6347.85009765625,6428.89990234375,6281.4501953125,6297.35009765625,292894
2024-09-13,6305.96875,6366.25,6439.89990234375,6321.10009765625,6339.0,135333
2024-09-16,6297.251953125,6357.4501953125,6411.25,6325.0,6369.0,47448
2024-09-17,6157.9833984375,6216.85009765625,6357.9501953125,6182.64990234375,6345.0,150949
2024-09-18,6032.630859375,6090.2998046875,6255.0,6050.0,6244.9501953125,112269
2024-09-19,6078.74072265625,6136.85009765625,6199.9501953125,6081.2998046875,6122.39990234375,123993
2024-09-20,6029.11474609375,6086.75,6168.60009765625,6042.5,6155.9501953125,243155
2024-09-23,5925.802734375,5982.4501953125,6135.0,5966.0498046875,6111.0,99302
2024-09-24,5989.54345703125,6046.7998046875,6104.75,5992.10009765625,6039.0,215635
2024-09-25,6167.68994140625,6226.64990234375,6264.0,6024.0498046875,6075.0,250647
2024-09-26,6138.4697265625,6197.14990234375,6228.7001953125,6051.2001953125,6209.0498046875,242297
2024-09-27,6126.03857421875,6184.60009765625,6213.0,6130.0,6197.14990234375,131483
2024-09-30,5995.48681640625,6052.7998046875,6221.64990234375,6030.60009765625,6184.60009765625,131363
2024-10-01,6093.00439453125,6151.25,6169.14990234375,6046.0,6099.0,110426
2024-10-03,6100.97802734375,6159.2998046875,6195.60009765625,6071.0,6140.0,335286
2024-10-04,6135.498046875,6194.14990234375,6320.0,6083.35009765625,6175.0,333711
2024-10-07,6101.9189453125,6160.25,6267.2001953125,6108.64990234375,6230.0,301401
2024-10-08,6191.66162109375,6250.85009765625,6266.5,6104.2998046875,6125.25,112143
2024-10-09,6234.50146484375,6294.10009765625,6375.5498046875,6270.10009765625,6299.7998046875,142064
2024-10-10,6078.98828125,6137.10009765625,6340.5498046875,6071.39990234375,6310.0,133293
2024-10-11,6132.6748046875,6191.2998046875,6233.0,6109.7001953125,6188.89990234375,110068
2024-10-14,6192.255859375,6251.4501953125,6270.0,6166.5,6191.2998046875,122405
2024-10-15,6206.17236328125,6265.5,6318.5498046875,6230.7001953125,6267.14990234375,109584
2024-10-16,6036.59326171875,6094.2998046875,6299.9501953125,6042.5,6299.9501953125,178898
2024-10-17,5965.96875,6023.0,6195.4501953125,5998.0,6108.5498046875,159045
2024-10-18,6074.6796875,6132.75,6158.0,6012.5,6012.5,253430
2024-10-21,6100.037109375,6158.35009765625,6250.0,6099.9501953125,6170.0,260236
2024-10-22,6052.392578125,6110.25,6220.75,6085.60009765625,6189.89990234375,216579
2024-10-23,5799.11376953125,5854.5498046875,6185.5498046875,5805.0,6111.0,246474
2024-10-24,5904.50634765625,5960.9501953125,5984.9501953125,5864.0498046875,5900.0,204593
2024-10-25,5886.2802734375,5942.5498046875,6008.25,5891.89990234375,5958.0,93169
2024-10-28,5982.36181640625,6039.5498046875,6084.5,5916.0,5954.2998046875,125326
2024-10-29,5872.1650390625,5928.2998046875,6060.2001953125,5825.0,6060.0,188102
2024-10-30,5740.72216796875,5795.60009765625,5975.39990234375,5773.25,5930.0,132445
2024-10-31,5724.52685546875,5779.25,5854.5,5763.39990234375,5794.64990234375,140721
2024-11-01,5750.2802734375,5805.25,5837.5498046875,5750.0,5820.75,5408
2024-11-04,5743.396484375,5798.2998046875,5808.2001953125,5720.0,5762.39990234375,103309
2024-11-05,5616.658203125,5670.35009765625,5867.2001953125,5620.10009765625,5767.0,192305
2024-11-06,5798.37060546875,5853.7998046875,5865.0,5661.0,5700.2001953125,190000
2024-11-07,5669.6015625,5723.7998046875,5958.89990234375,5675.14990234375,5920.0,459856
2024-11-08,5652.4658203125,5706.5,5786.89990234375,5677.60009765625,5726.85009765625,258565
2024-11-11,5570.5986328125,5623.85009765625,5745.10009765625,5571.0498046875,5712.0,266763
2024-11-12,5451.2890625,5503.39990234375,5677.39990234375,5444.10009765625,5650.0,306620
2024-11-13,5518.44677734375,5571.2001953125,5637.60009765625,5361.0498046875,5500.0,621020
2024-11-14,5472.63525390625,5524.9501953125,5665.9501953125,5491.5498046875,5566.0498046875,308852
2024-11-18,5462.92724609375,5515.14990234375,5608.60009765625,5492.5,5550.0,266630
2024-11-19,5477.43896484375,5529.7998046875,5599.7998046875,5463.0,5490.0,284770
2024-11-21,5551.6787109375,5604.75,5665.0,5532.0498046875,5571.0,514688
2024-11-22,5530.48193359375,5583.35009765625,5622.7998046875,5511.5,5605.14990234375,108563
2024-11-25,5426.42626953125,5478.2998046875,5718.5,5374.2001953125,5699.0,6069361
2024-11-26,5432.46875,5484.39990234375,5538.85009765625,5433.0,5437.10009765625,198823
2024-11-27,5398.24560546875,5449.85009765625,5528.9501953125,5401.35009765625,5497.25,163882
2024-11-28,5405.4765625,5457.14990234375,5492.5,5418.85009765625,5459.0,161971
2024-11-29,5589.0224609375,5642.4501953125,5650.0,5457.14990234375,5472.0,289092
2024-12-02,5638.845703125,5692.75,5751.0,5650.0,5658.0,123812
2024-12-03,5583.970703125,5637.35009765625,5722.7001953125,5621.4501953125,5708.7998046875,141938
2024-12-04,5618.98583984375,5672.7001953125,5716.2001953125,5632.7998046875,5647.7998046875,232021
2024-12-05,5590.50830078125,5643.9501953125,5681.85009765625,5580.0498046875,5629.5498046875,162869
2024-12-06,5453.26953125,5505.39990234375,5649.85009765625,5493.0498046875,5631.0,202595
2024-12-09,5432.66650390625,5484.60009765625,5700.0,5461.10009765625,5532.9501953125,113570
2024-12-10,5407.7548828125,5459.4501953125,5508.75,5433.0,5495.10009765625,136168
2024-12-11,5437.966796875,5489.9501953125,5516.7998046875,5425.0498046875,5474.0,79442
2024-12-12,5383.7841796875,5435.25,5535.0,5405.5,5529.4501953125,131028
2024-12-13,5321.67724609375,5372.5498046875,5447.0,5341.5498046875,5435.25,70477
2024-12-16,5391.2626953125,5442.7998046875,5453.89990234375,5351.64990234375,5353.35009765625,82592
2024-12-17,5340.5966796875,5391.64990234375,5452.25,5361.5,5434.0,123973
2024-12-18,5441.23486328125,5493.25,5537.7001953125,5395.0,5414.0,241974
2024-12-19,5442.22509765625,5494.25,5525.0498046875,5401.0,5477.0,71302
2024-12-20,5376.107421875,5427.5,5543.25,5404.7998046875,5535.0,113105
2024-12-23,5429.9921875,5481.89990234375,5495.5,5378.5498046875,5431.2998046875,84938
2024-12-24,5355.1083984375,5406.2998046875,5488.14990234375,5383.5498046875,5481.89990234375,28643
2024-12-26,5357.38671875,5408.60009765625,5455.89990234375,5345.0498046875,5379.85009765625,80638
2024-12-27,5430.78515625,5482.7001953125,5515.0,5395.64990234375,5406.35009765625,76521
2024-12-30,5516.51513671875,5569.25,5600.0,5493.25,5522.85009765625,170867
2024-12-31,5580.552734375,5633.89990234375,5684.64990234375,5550.0,5569.35009765625,206537
2025-01-01,5518.24853515625,5571.0,5673.89990234375,5563.25,5673.89990234375,48323
2025-01-02,5526.916015625,5579.75,5606.9501953125,5515.0,5600.0,43043
2025-01-03,5450.5458984375,5502.64990234375,5610.0,5486.0498046875,5609.0,63705
2025-01-06,5474.66552734375,5527.0,5545.2001953125,5447.35009765625,5476.14990234375,80419
2025-01-07,5510.1259765625,5562.7998046875,5669.89990234375,5517.5,5527.14990234375,112844
2025-01-08,5509.037109375,5561.7001953125,5579.9501953125,5475.75,5555.9501953125,124256
2025-01-09,5402.3076171875,5453.9501953125,5582.60009765625,5420.0,5566.39990234375,55782
2025-01-10,5325.14453125,5376.0498046875,5471.4501953125,5311.64990234375,5429.0,116794
2025-01-13,5177.90234375,5227.39990234375,5461.0,5213.75,5301.0,74385
2025-01-14,5214.9482421875,5264.7998046875,5296.0,5219.39990234375,5248.89990234375,53375
2025-01-15,5152.24755859375,5201.5,5302.25,5143.0,5302.10009765625,105851
2025-01-16,5132.73388671875,5181.7998046875,5221.39990234375,5149.75,5200.0,112811
2025-01-17,5206.0830078125,5255.85009765625,5283.5,5166.5,5192.0,74860
2025-01-20,5188.40185546875,5238.0,5285.0,5183.5,5260.64990234375,46132
2025-01-21,5128.2763671875,5177.2998046875,5299.0,5153.0,5264.0,42800
2025-01-22,5102.67138671875,5151.4501953125,5236.14990234375,5066.2998046875,5189.7001953125,105924
2025-01-23,5134.41796875,5183.5,5250.0,5111.10009765625,5160.0,34691
2025-01-24,4975.14111328125,5022.7001953125,5200.9501953125,4999.0,5185.0498046875,131775
2025-01-27,4915.857421875,4962.85009765625,5049.2001953125,4890.5498046875,4992.2001953125,102577
2025-01-28,4869.5,4916.0498046875,4964.85009765625,4869.25,4938.60009765625,126546
2025-01-29,4956.91455078125,5004.2998046875,5028.2001953125,4906.75,4915.0,61140
2025-01-30,5002.578125,5050.39990234375,5120.0,4992.7998046875,5004.2998046875,73658
2025-01-31,5015.1083984375,5063.0498046875,5087.9501953125,5010.10009765625,5040.4501953125,75175
2025-02-01,4981.97509765625,5029.60009765625,5143.25,5000.0,5044.0,45136
2025-02-03,5000.64697265625,5048.4501953125,5107.35009765625,4977.60009765625,5022.64990234375,97298
2025-02-04,5057.552734375,5105.89990234375,5135.9501953125,5020.0,5048.5,186828
2025-02-05,5069.48876953125,5117.9501953125,5193.85009765625,5072.35009765625,5140.0,82446
2025-02-06,5205.9345703125,5255.7001953125,5271.9501953125,5095.0,5095.0,153921
2025-02-07,5102.572265625,5151.35009765625,5318.0,5036.0,5299.39990234375,328414
2025-02-10,4755.3916015625,4800.85009765625,5095.0498046875,4785.0,5095.0498046875,781373
2025-02-11,4658.96337890625,4703.5,4816.0498046875,4603.0,4800.9501953125,394075
2025-02-12,4664.01513671875,4708.60009765625,4810.64990234375,4562.64990234375,4703.5,237645
2025-02-13,4674.86083984375,4719.5498046875,4764.0498046875,4690.5,4723.2001953125,92205
2025-02-14,4643.86181640625,4651.5,4713.39990234375,4585.25,4710.0,223062
2025-02-17,4786.42724609375,4794.2998046875,4804.9501953125,4570.0,4655.0,231449
2025-02-18,4714.39599609375,4722.14990234375,4806.0,4705.85009765625,4735.0,89080
2025-02-19,4733.9140625,4741.7001953125,4756.25,4624.64990234375,4698.0,129477
2025-02-20,4712.24951171875,4720.0,4768.60009765625,4690.5,4712.0,201094
2025-02-21,4593.6943359375,4601.25,4745.0,4582.10009765625,4744.75,278927
2025-02-24,4601.4814453125,4609.0498046875,4633.39990234375,4572.60009765625,4590.0,97095
2025-02-25,4556.20654296875,4563.7001953125,4649.7998046875,4540.0,4611.0,123125
2025-02-27,4604.92626953125,4612.5,4628.9501953125,4522.0,4610.39990234375,228063
2025-02-28,4638.57080078125,4646.2001953125,4785.14990234375,4491.64990234375,4600.0,527520
