date_,adj close_pageind.ns,close_pageind.ns,high_pageind.ns,low_pageind.ns,open_pageind.ns,volume_pageind.ns
2024-07-18,39064.8515625,40143.05078125,40942.44921875,39690.0,40580.0,27609
2024-07-19,39417.1796875,40505.1015625,40724.8984375,39800.0,39842.0,40304
2024-07-22,39120.56640625,40200.30078125,40866.0,39538.94921875,40050.25,41263
2024-07-23,39801.8515625,40900.3984375,41050.0,40104.05078125,40200.30078125,19072
2024-07-24,39902.7734375,41004.1015625,41460.25,40250.0,40900.0,21988
2024-07-25,40210.4296875,41320.25,41500.0,40200.0,40900.0,16055
2024-07-26,40330.80859375,41443.94921875,41620.0,41181.1015625,41490.0,6425
2024-07-29,40028.703125,41133.5,41741.5,40920.0,41443.0,31835
2024-07-30,41365.6484375,42507.3515625,42700.0,41130.0,41133.5,29267
2024-07-31,41258.0234375,42396.75,42865.19921875,42222.0,42450.05078125,18411
2024-08-01,40885.890625,42014.3515625,42537.55078125,41767.0,42344.0,13056
2024-08-02,41652.3828125,42802.0,42922.0,41584.8515625,41751.0,18905
2024-08-05,40316.74609375,41429.5,42386.8515625,41250.0,42205.1484375,23362
2024-08-06,39934.05859375,41036.25,42268.44921875,40897.0,41256.0,16947
2024-08-07,40182.06640625,41291.1015625,41750.0,40810.19921875,41501.0,14050
2024-08-08,39639.92578125,40734.0,41975.1484375,40266.0,41200.0,33948
2024-08-09,39125.9609375,40205.8515625,40950.0,39586.5,40950.0,60060
2024-08-12,39724.8828125,40821.30078125,41050.0,39588.6484375,40169.0,26469
2024-08-13,39979.60546875,41083.05078125,41527.94921875,40548.0,40821.30078125,8575
2024-08-14,39536.0,40627.19921875,41196.19921875,40409.8984375,41002.05078125,11054
2024-08-16,40144.12890625,40947.5,41152.75,40450.5,40450.5,5230
2024-08-19,40247.609375,41053.05078125,41346.80078125,40552.1015625,40966.05078125,23708
2024-08-20,40121.37890625,40924.30078125,41326.69921875,40835.05078125,41053.05078125,9306
2024-08-21,40753.23828125,41568.80078125,41699.8515625,40875.05078125,41000.0,8417
2024-08-22,41348.9140625,42176.3984375,42423.05078125,41510.19921875,41510.19921875,14188
2024-08-23,40698.140625,41512.6015625,42462.44921875,41359.44921875,42055.0,18586
2024-08-26,41091.125,41913.44921875,42345.0,41554.1484375,41819.94921875,15955
2024-08-27,40713.5859375,41528.3515625,42320.0,41409.0,41710.1015625,10982
2024-08-28,40517.4609375,41328.30078125,41728.44921875,41108.3515625,41375.0,8848
2024-08-29,40946.328125,41765.75,41900.0,41425.44921875,41635.0,11821
2024-08-30,41686.31640625,42520.55078125,42891.1484375,41600.0,41605.0,29592
