symbol,yahoo_symbol,market_cap_cr,date
JMFINANCIL,JMFINANCIL.NS,13142.92,2026-01-18
ACMESOLAR,ACMESOLAR.NS,13122.32,2026-01-18
AFCONS,AFCONS.NS,13036.13,2026-01-18
TRIDENT,TRIDENT.NS,13008.51,2026-01-18
USHAMART,USHAMART.NS,12948.0,2026-01-18
CCL,CCL.NS,12946.6,2026-01-18
SIGNATURE,SIGNATURE.NS,12914.3,2026-01-18
KSB,KSB.NS,12882.38,2026-01-18
AARTIIND,AARTIIND.NS,12877.08,2026-01-18
RAINBOW,RAINBOW.NS,12865.22,2026-01-18
MANYAVAR,MANYAVAR.NS,12832.63,2026-01-18
BLUEDART,BLUEDART.NS,12811.9,2026-01-18
CHENNPETRO,CHENNPETRO.NS,12809.86,2026-01-18
INTELLECT,INTELLECT.NS,12752.46,2026-01-18
KIRLOSBROS,KIRLOSBROS.NS,12721.17,2026-01-18
BBTC,BBTC.NS,12713.48,2026-01-18
LTFOODS,LTFOODS.NS,12671.41,2026-01-18
NUVOCO,NUVOCO.NS,12498.68,2026-01-18
GRAPHITE,GRAPHITE.NS,12495.25,2026-01-18
BLS,BLS.NS,12441.3,2026-01-18
IEX,IEX.NS,12387.06,2026-01-18
CANFINHOME,CANFINHOME.NS,12245.48,2026-01-18
NSLNISP,NSLNISP.NS,12240.98,2026-01-18
VTL,VTL.NS,12075.24,2026-01-18
BSOFT,BSOFT.NS,12069.21,2026-01-18
ZENTEC,ZENTEC.NS,11945.24,2026-01-18
FINCABLES,FINCABLES.NS,11927.74,2026-01-18
INDGN,INDGN.NS,11924.13,2026-01-18
SBFC,SBFC.NS,11725.76,2026-01-18
GRAVITA,GRAVITA.NS,11605.07,2026-01-18
BATAINDIA,BATAINDIA.NS,11603.47,2026-01-18
WELSPUNLIV,WELSPUNLIV.NS,11584.42,2026-01-18
SAMMAANCAP,SAMMAANCAP.NS,11427.92,2026-01-18
AAVAS,AAVAS.NS,11367.01,2026-01-18
TECHNOE,TECHNOE.NS,11342.7,2026-01-18
J&KBANK,J&KBANK.NS,11310.24,2026-01-18
LEMONTREE,LEMONTREE.NS,11269.58,2026-01-18
HOMEFIRST,HOMEFIRST.NS,11259.04,2026-01-18
RAILTEL,RAILTEL.NS,11163.84,2026-01-18
HEG,HEG.NS,11140.5,2026-01-18
JPPOWER,JPPOWER.NS,11136.5,2026-01-18
JUBLINGREA,JUBLINGREA.NS,11095.38,2026-01-18
RITES,RITES.NS,11030.82,2026-01-18
